timestamp,temperature.gpu,utilization.gpu,utilization.memory,clocks.sm,clocks.gr,power.draw,pstate,clocks_event_reasons.active
# start 2026-08-28 09:32:10 PDT
2026/08/28 09:33:58.011, 62, 96, 0, 2463, 2463, 74.11, P0, 0x0000000000000000
2026/08/28 09:33:58.111, 67, 96, 0, 2431, 2431, 61.12, P0, 0x0000000000000000
2026/08/28 09:33:58.211, 67, 96, 0, 2431, 2431, 61.12, P0, 0x0000000000000000
2026/08/28 09:33:58.311, 67, 96, 0, 2431, 2431, 61.12, P0, 0x0000000000000000
2026/08/28 09:33:58.412, 67, 96, 0, 2431, 2431, 61.12, P0, 0x0000000000000000
2026/08/28 09:33:58.512, 67, 96, 0, 2431, 2431, 61.12, P0, 0x0000000000000000
2026/08/28 09:33:58.612, 68, 96, 0, 2470, 2470, 62.75, P0, 0x0000000000000000
2026/08/28 09:33:58.712, 68, 96, 0, 2470, 2470, 62.75, P0, 0x0000000000000000
2026/08/28 09:33:58.812, 68, 96, 0, 2470, 2470, 62.75, P0, 0x0000000000000000
2026/08/28 09:33:58.913, 68, 96, 0, 2470, 2470, 62.75, P0, 0x0000000000000000
2026/08/28 09:33:59.013, 68, 96, 0, 2470, 2470, 62.75, P0, 0x0000000000000000
2026/08/28 09:33:59.113, 69, 96, 0, 2463, 2463, 75.40, P0, 0x0000000000000000
2026/08/28 09:33:59.213, 69, 96, 0, 2463, 2463, 75.40, P0, 0x0000000000000000
2026/08/28 09:33:59.313, 69, 96, 0, 2463, 2463, 75.40, P0, 0x0000000000000000
2026/08/28 09:33:59.413, 69, 96, 0, 2463, 2463, 75.40, P0, 0x0000000000000000
2026/08/28 09:33:59.514, 69, 96, 0, 2463, 2463, 75.40, P0, 0x0000000000000000
2026/08/28 09:33:59.614, 69, 96, 0, 2463, 2463, 76.13, P0, 0x0000000000000000
2026/08/28 09:33:59.714, 69, 96, 0, 2463, 2463, 76.13, P0, 0x0000000000000000
2026/08/28 09:33:59.814, 69, 96, 0, 2463, 2463, 76.13, P0, 0x0000000000000000
2026/08/28 09:33:59.914, 69, 96, 0, 2463, 2463, 76.13, P0, 0x0000000000000000
2026/08/28 09:34:00.014, 69, 96, 0, 2463, 2463, 76.13, P0, 0x0000000000000000
2026/08/28 09:34:00.115, 70, 94, 0, 2450, 2450, 76.82, P0, 0x0000000000000000
2026/08/28 09:34:00.215, 70, 94, 0, 2450, 2450, 76.82, P0, 0x0000000000000000
2026/08/28 09:34:00.315, 70, 94, 0, 2450, 2450, 76.82, P0, 0x0000000000000000
2026/08/28 09:34:00.415, 70, 94, 0, 2450, 2450, 76.82, P0, 0x0000000000000000
2026/08/28 09:34:00.515, 70, 94, 0, 2450, 2450, 76.82, P0, 0x0000000000000000
2026/08/28 09:34:00.615, 73, 94, 0, 2457, 2457, 77.31, P0, 0x0000000000000000
2026/08/28 09:34:00.716, 73, 94, 0, 2457, 2457, 77.31, P0, 0x0000000000000000
2026/08/28 09:34:00.816, 73, 94, 0, 2457, 2457, 77.31, P0, 0x0000000000000000
2026/08/28 09:34:00.916, 73, 94, 0, 2457, 2457, 77.31, P0, 0x0000000000000000
2026/08/28 09:34:01.016, 73, 94, 0, 2457, 2457, 77.31, P0, 0x0000000000000000
2026/08/28 09:34:01.116, 67, 94, 0, 2444, 2444, 78.33, P0, 0x0000000000000000
2026/08/28 09:34:01.216, 67, 94, 0, 2444, 2444, 78.33, P0, 0x0000000000000000
2026/08/28 09:34:01.317, 67, 94, 0, 2444, 2444, 78.33, P0, 0x0000000000000000
2026/08/28 09:34:01.417, 67, 94, 0, 2444, 2444, 78.33, P0, 0x0000000000000000
2026/08/28 09:34:01.517, 67, 94, 0, 2444, 2444, 78.33, P0, 0x0000000000000000
2026/08/28 09:34:01.617, 70, 94, 0, 2444, 2444, 74.52, P0, 0x0000000000000000
2026/08/28 09:34:01.717, 70, 94, 0, 2444, 2444, 74.52, P0, 0x0000000000000000
2026/08/28 09:34:01.817, 70, 94, 0, 2444, 2444, 74.52, P0, 0x0000000000000000
2026/08/28 09:34:01.917, 70, 94, 0, 2444, 2444, 74.52, P0, 0x0000000000000000
2026/08/28 09:34:02.018, 70, 94, 0, 2444, 2444, 74.52, P0, 0x0000000000000000
2026/08/28 09:34:02.118, 69, 94, 0, 2463, 2463, 72.77, P0, 0x0000000000000000
2026/08/28 09:34:02.218, 69, 94, 0, 2463, 2463, 72.77, P0, 0x0000000000000000
2026/08/28 09:34:02.318, 69, 94, 0, 2463, 2463, 72.77, P0, 0x0000000000000000
2026/08/28 09:34:02.418, 69, 94, 0, 2463, 2463, 72.77, P0, 0x0000000000000000
2026/08/28 09:34:02.518, 69, 94, 0, 2463, 2463, 72.77, P0, 0x0000000000000000
2026/08/28 09:34:02.619, 71, 94, 0, 2450, 2450, 76.70, P0, 0x0000000000000000
2026/08/28 09:34:02.719, 71, 94, 0, 2450, 2450, 76.70, P0, 0x0000000000000000
2026/08/28 09:34:02.819, 71, 94, 0, 2450, 2450, 76.70, P0, 0x0000000000000000
2026/08/28 09:34:02.919, 71, 94, 0, 2450, 2450, 76.70, P0, 0x0000000000000000
2026/08/28 09:34:03.019, 71, 94, 0, 2450, 2450, 76.70, P0, 0x0000000000000000
2026/08/28 09:34:03.119, 71, 94, 0, 2450, 2450, 77.75, P0, 0x0000000000000000
2026/08/28 09:34:03.220, 71, 94, 0, 2450, 2450, 77.75, P0, 0x0000000000000000
2026/08/28 09:34:03.320, 71, 94, 0, 2450, 2450, 77.75, P0, 0x0000000000000000
2026/08/28 09:34:03.420, 71, 94, 0, 2450, 2450, 77.75, P0, 0x0000000000000000
2026/08/28 09:34:03.520, 71, 94, 0, 2450, 2450, 77.75, P0, 0x0000000000000000
2026/08/28 09:34:03.621, 71, 94, 0, 2450, 2450, 78.44, P0, 0x0000000000000000
2026/08/28 09:34:03.721, 71, 94, 0, 2450, 2450, 78.44, P0, 0x0000000000000000
2026/08/28 09:34:03.821, 71, 94, 0, 2450, 2450, 78.44, P0, 0x0000000000000000
2026/08/28 09:34:03.921, 71, 94, 0, 2450, 2450, 78.44, P0, 0x0000000000000000
2026/08/28 09:34:04.021, 71, 94, 0, 2450, 2450, 78.44, P0, 0x0000000000000000
2026/08/28 09:34:04.121, 70, 94, 0, 2450, 2450, 76.35, P0, 0x0000000000000000
2026/08/28 09:34:04.222, 70, 94, 0, 2450, 2450, 76.35, P0, 0x0000000000000000
2026/08/28 09:34:04.322, 70, 94, 0, 2450, 2450, 76.35, P0, 0x0000000000000000
2026/08/28 09:34:04.422, 70, 94, 0, 2450, 2450, 76.35, P0, 0x0000000000000000
2026/08/28 09:34:04.522, 70, 94, 0, 2450, 2450, 76.35, P0, 0x0000000000000000
2026/08/28 09:34:04.622, 72, 94, 0, 2450, 2450, 73.74, P0, 0x0000000000000000
2026/08/28 09:34:04.723, 72, 94, 0, 2450, 2450, 73.74, P0, 0x0000000000000000
2026/08/28 09:34:04.823, 72, 94, 0, 2450, 2450, 73.74, P0, 0x0000000000000000
2026/08/28 09:34:04.923, 72, 94, 0, 2450, 2450, 73.74, P0, 0x0000000000000000
2026/08/28 09:34:05.023, 72, 94, 0, 2450, 2450, 73.74, P0, 0x0000000000000000
2026/08/28 09:34:05.123, 72, 96, 0, 2444, 2444, 75.75, P0, 0x0000000000000000
2026/08/28 09:34:05.223, 72, 96, 0, 2444, 2444, 75.75, P0, 0x0000000000000000
2026/08/28 09:34:05.324, 72, 96, 0, 2444, 2444, 75.75, P0, 0x0000000000000000
2026/08/28 09:34:05.424, 72, 96, 0, 2444, 2444, 75.75, P0, 0x0000000000000000
2026/08/28 09:34:05.524, 72, 96, 0, 2444, 2444, 75.75, P0, 0x0000000000000000
2026/08/28 09:34:05.624, 72, 96, 0, 2437, 2437, 78.01, P0, 0x0000000000000000
2026/08/28 09:34:05.724, 72, 96, 0, 2437, 2437, 78.01, P0, 0x0000000000000000
2026/08/28 09:34:05.824, 72, 96, 0, 2437, 2437, 78.01, P0, 0x0000000000000000
2026/08/28 09:34:05.925, 72, 96, 0, 2437, 2437, 78.01, P0, 0x0000000000000000
2026/08/28 09:34:06.025, 72, 96, 0, 2437, 2437, 78.01, P0, 0x0000000000000000
2026/08/28 09:34:06.125, 73, 96, 0, 2444, 2444, 79.01, P0, 0x0000000000000000
2026/08/28 09:34:06.225, 73, 96, 0, 2444, 2444, 79.01, P0, 0x0000000000000000
2026/08/28 09:34:06.325, 73, 96, 0, 2444, 2444, 79.01, P0, 0x0000000000000000
2026/08/28 09:34:06.426, 73, 96, 0, 2444, 2444, 79.01, P0, 0x0000000000000000
2026/08/28 09:34:06.526, 73, 96, 0, 2444, 2444, 79.01, P0, 0x0000000000000000
2026/08/28 09:34:06.626, 72, 96, 0, 2437, 2437, 78.93, P0, 0x0000000000000000
2026/08/28 09:34:06.726, 72, 96, 0, 2437, 2437, 78.93, P0, 0x0000000000000000
2026/08/28 09:34:06.826, 72, 96, 0, 2437, 2437, 78.93, P0, 0x0000000000000000
2026/08/28 09:34:06.926, 72, 96, 0, 2437, 2437, 78.93, P0, 0x0000000000000000
2026/08/28 09:34:07.027, 72, 96, 0, 2437, 2437, 78.93, P0, 0x0000000000000000
2026/08/28 09:34:07.127, 76, 96, 0, 2437, 2437, 79.81, P0, 0x0000000000000000
2026/08/28 09:34:07.227, 76, 96, 0, 2437, 2437, 79.81, P0, 0x0000000000000000
2026/08/28 09:34:07.327, 76, 96, 0, 2437, 2437, 79.81, P0, 0x0000000000000000
2026/08/28 09:34:07.427, 76, 96, 0, 2437, 2437, 79.81, P0, 0x0000000000000000
2026/08/28 09:34:07.527, 76, 96, 0, 2437, 2437, 79.81, P0, 0x0000000000000000
2026/08/28 09:34:07.627, 72, 96, 0, 2450, 2450, 74.00, P0, 0x0000000000000000
2026/08/28 09:34:07.727, 72, 96, 0, 2450, 2450, 74.00, P0, 0x0000000000000000
2026/08/28 09:34:07.828, 72, 96, 0, 2450, 2450, 74.00, P0, 0x0000000000000000
2026/08/28 09:34:07.928, 72, 96, 0, 2450, 2450, 74.00, P0, 0x0000000000000000
2026/08/28 09:34:08.028, 72, 96, 0, 2450, 2450, 74.00, P0, 0x0000000000000000
2026/08/28 09:34:08.128, 72, 96, 0, 2444, 2444, 71.84, P0, 0x0000000000000000
2026/08/28 09:34:08.228, 72, 96, 0, 2444, 2444, 71.84, P0, 0x0000000000000000
2026/08/28 09:34:08.328, 72, 96, 0, 2444, 2444, 71.84, P0, 0x0000000000000000
2026/08/28 09:34:08.429, 72, 96, 0, 2444, 2444, 71.84, P0, 0x0000000000000000
2026/08/28 09:34:08.529, 72, 96, 0, 2444, 2444, 71.84, P0, 0x0000000000000000
2026/08/28 09:34:08.629, 73, 96, 0, 2437, 2437, 76.74, P0, 0x0000000000000000
2026/08/28 09:34:08.729, 73, 96, 0, 2437, 2437, 76.74, P0, 0x0000000000000000
2026/08/28 09:34:08.829, 73, 96, 0, 2437, 2437, 76.74, P0, 0x0000000000000000
2026/08/28 09:34:08.930, 73, 96, 0, 2437, 2437, 76.74, P0, 0x0000000000000000
2026/08/28 09:34:09.030, 73, 96, 0, 2437, 2437, 76.74, P0, 0x0000000000000000
2026/08/28 09:34:09.130, 71, 73, 0, 2437, 2437, 72.47, P0, 0x0000000000000000
2026/08/28 09:34:09.230, 71, 73, 0, 2437, 2437, 72.47, P0, 0x0000000000000000
2026/08/28 09:34:09.330, 71, 73, 0, 2437, 2437, 72.47, P0, 0x0000000000000000
2026/08/28 09:34:09.430, 71, 73, 0, 2437, 2437, 72.47, P0, 0x0000000000000000
2026/08/28 09:34:09.531, 71, 73, 0, 2437, 2437, 72.47, P0, 0x0000000000000000
2026/08/28 09:34:09.631, 74, 73, 0, 2450, 2450, 72.64, P0, 0x0000000000000000
2026/08/28 09:34:09.731, 74, 73, 0, 2450, 2450, 72.64, P0, 0x0000000000000000
2026/08/28 09:34:09.831, 74, 73, 0, 2450, 2450, 72.64, P0, 0x0000000000000000
2026/08/28 09:34:09.931, 74, 73, 0, 2450, 2450, 72.64, P0, 0x0000000000000000
2026/08/28 09:34:10.031, 74, 73, 0, 2450, 2450, 72.64, P0, 0x0000000000000000
2026/08/28 09:34:10.132, 74, 94, 0, 2444, 2444, 76.44, P0, 0x0000000000000000
2026/08/28 09:34:10.232, 74, 94, 0, 2444, 2444, 76.44, P0, 0x0000000000000000
2026/08/28 09:34:10.332, 74, 94, 0, 2444, 2444, 76.44, P0, 0x0000000000000000
2026/08/28 09:34:10.432, 74, 94, 0, 2444, 2444, 76.44, P0, 0x0000000000000000
2026/08/28 09:34:10.532, 74, 94, 0, 2444, 2444, 76.44, P0, 0x0000000000000000
2026/08/28 09:34:10.632, 74, 94, 0, 2450, 2450, 77.76, P0, 0x0000000000000000
2026/08/28 09:34:10.733, 74, 94, 0, 2450, 2450, 77.76, P0, 0x0000000000000000
2026/08/28 09:34:10.833, 74, 94, 0, 2450, 2450, 77.76, P0, 0x0000000000000000
2026/08/28 09:34:10.933, 74, 94, 0, 2450, 2450, 77.76, P0, 0x0000000000000000
2026/08/28 09:34:11.033, 74, 94, 0, 2450, 2450, 77.76, P0, 0x0000000000000000
2026/08/28 09:34:11.133, 74, 96, 0, 2444, 2444, 74.30, P0, 0x0000000000000000
2026/08/28 09:34:11.234, 74, 96, 0, 2444, 2444, 74.30, P0, 0x0000000000000000
2026/08/28 09:34:11.334, 74, 96, 0, 2444, 2444, 74.30, P0, 0x0000000000000000
2026/08/28 09:34:11.434, 74, 96, 0, 2444, 2444, 74.30, P0, 0x0000000000000000
2026/08/28 09:34:11.534, 74, 96, 0, 2444, 2444, 74.30, P0, 0x0000000000000000
2026/08/28 09:34:11.635, 71, 96, 0, 2444, 2444, 72.89, P0, 0x0000000000000000
2026/08/28 09:34:11.735, 71, 96, 0, 2444, 2444, 72.89, P0, 0x0000000000000000
2026/08/28 09:34:11.835, 71, 96, 0, 2444, 2444, 72.89, P0, 0x0000000000000000
2026/08/28 09:34:11.935, 71, 96, 0, 2444, 2444, 72.89, P0, 0x0000000000000000
2026/08/28 09:34:12.035, 71, 96, 0, 2444, 2444, 72.89, P0, 0x0000000000000000
2026/08/28 09:34:12.136, 75, 96, 0, 2444, 2444, 77.20, P0, 0x0000000000000000
2026/08/28 09:34:12.236, 75, 96, 0, 2444, 2444, 77.20, P0, 0x0000000000000000
2026/08/28 09:34:12.336, 75, 96, 0, 2444, 2444, 77.20, P0, 0x0000000000000000
2026/08/28 09:34:12.436, 75, 96, 0, 2444, 2444, 77.20, P0, 0x0000000000000000
2026/08/28 09:34:12.537, 75, 96, 0, 2444, 2444, 77.20, P0, 0x0000000000000000
2026/08/28 09:34:12.637, 74, 96, 0, 2444, 2444, 78.33, P0, 0x0000000000000000
2026/08/28 09:34:12.737, 74, 96, 0, 2444, 2444, 78.33, P0, 0x0000000000000000
2026/08/28 09:34:12.838, 74, 96, 0, 2444, 2444, 78.33, P0, 0x0000000000000000
2026/08/28 09:34:12.938, 74, 96, 0, 2444, 2444, 78.33, P0, 0x0000000000000000
2026/08/28 09:34:13.038, 74, 96, 0, 2444, 2444, 78.33, P0, 0x0000000000000000
2026/08/28 09:34:13.138, 75, 96, 0, 2444, 2444, 79.59, P0, 0x0000000000000000
2026/08/28 09:34:13.238, 75, 96, 0, 2444, 2444, 79.59, P0, 0x0000000000000000
2026/08/28 09:34:13.338, 75, 96, 0, 2444, 2444, 79.59, P0, 0x0000000000000000
2026/08/28 09:34:13.438, 75, 96, 0, 2444, 2444, 79.59, P0, 0x0000000000000000
2026/08/28 09:34:13.539, 75, 96, 0, 2444, 2444, 79.59, P0, 0x0000000000000000
2026/08/28 09:34:13.639, 75, 96, 0, 2444, 2444, 72.76, P0, 0x0000000000000000
2026/08/28 09:34:13.739, 75, 96, 0, 2444, 2444, 72.76, P0, 0x0000000000000000
2026/08/28 09:34:13.839, 75, 96, 0, 2444, 2444, 72.76, P0, 0x0000000000000000
