request_id,successful,ttft,request_latency,num_input_tokens,num_output_tokens,decode_speed,submit_time,first_token_time,finish_time,error
doc213_q1,True,4.7715537548065186,6.460057973861694,16024,128,75.80673980881377,1787895997.9530559,1787896002.7246096,1787896004.4131138,
doc169_q2,True,2.8214828968048096,6.287282943725586,16024,128,36.932309500579194,1787896004.3181067,1787896007.1395895,1787896010.6053896,
doc126_q0,True,4.786709308624268,6.290292978286743,16023,128,85.1299482580397,1787896004.4132566,1787896009.199966,1787896010.7035496,
doc132_q0,True,0.5841414928436279,2.482795238494873,16023,128,67.41618912515064,1787896010.605616,1787896011.1897576,1787896013.0884113,
doc249_q2,True,0.5406970977783203,2.4045917987823486,16024,128,68.67340731804751,1787896010.7036288,1787896011.2443259,1787896013.1082206,
doc177_q1,True,2.8121767044067383,6.426513910293579,16024,128,35.414515223294714,1787896013.1083012,1787896015.9204779,1787896019.534815,
doc175_q1,True,4.875351190567017,6.553043365478516,16024,128,76.29528343407348,1787896013.0886111,1787896017.9639623,1787896019.6416545,
doc319_q2,True,2.8364250659942627,6.488485097885132,16024,128,35.048711927587746,1787896019.535147,1787896022.371572,1787896026.023632,
doc70_q1,True,4.783449172973633,6.485780477523804,16023,128,75.19100404126276,1787896019.6417809,1787896024.42523,1787896026.1275613,
doc256_q1,True,2.8337035179138184,6.454665422439575,16024,128,35.34972291202946,1787896026.0239563,1787896028.8576598,1787896032.4786217,
doc258_q0,True,4.782619953155518,6.447546482086182,16023,128,76.88026935471491,1787896026.1276767,1787896030.9102967,1787896032.5752232,
doc313_q0,True,2.782827138900757,6.429871559143066,16023,128,35.096912801378956,1787896032.4788485,1787896035.2616756,1787896038.90872,
doc58_q1,True,4.733073949813843,6.438175678253174,16023,128,75.06883481794227,1787896032.5752969,1787896037.3083708,1787896039.0134726,
doc162_q0,True,2.8319647312164307,6.297224998474121,16023,128,36.938062404558025,1787896038.9090211,1787896041.7409859,1787896045.2062461,
doc304_q0,True,4.790931224822998,6.289040803909302,16023,128,85.44101298522311,1787896039.0135546,1787896043.8044858,1787896045.3025954,
doc286_q0,True,2.8209595680236816,6.433260440826416,16023,128,35.4344791608365,1787896045.2063448,1787896048.0273044,1787896051.6396053,
doc101_q2,True,4.764692544937134,6.4351115226745605,16024,128,76.62748191078103,1787896045.3026795,1787896050.067372,1787896051.737791,
doc130_q2,True,2.8280861377716064,6.48677921295166,16024,128,34.985170215104965,1787896051.639879,1787896054.4679651,1787896058.1266582,
doc68_q0,True,4.7869484424591064,6.511486530303955,16022,128,74.22277356597053,1787896051.7380097,1787896056.5249581,1787896058.2494962,
doc85_q1,True,2.852208137512207,6.482756614685059,16023,128,35.256380903547395,1787896058.126965,1787896060.9791732,1787896064.6097217,
doc302_q1,True,4.778158664703369,6.48013973236084,16024,128,75.20647698870903,1787896058.2496006,1787896063.0277593,1787896064.7297404,
doc167_q2,True,2.841411828994751,6.514339208602905,16024,128,34.849586384595405,1787896064.6099505,1787896067.4513624,1787896071.1242898,
doc12_q2,True,4.7782886028289795,6.491262674331665,16023,128,74.72383974131819,1787896064.7298522,1787896069.5081408,1787896071.2211149,
doc296_q1,True,2.853884696960449,6.519982814788818,16024,128,34.914504709388794,1787896071.125434,1787896073.9793186,1787896077.6454167,
doc237_q0,True,4.808006048202515,6.524448394775391,16023,128,74.5728513722412,1787896071.2211978,1787896076.029204,1787896077.7456462,
doc265_q0,True,2.8093652725219727,4.269074201583862,16023,128,87.68871481950973,1787896077.645776,1787896080.4551413,1787896081.9148502,
doc90_q0,True,2.7217373847961426,4.1785805225372314,16022,128,87.8612094082213,1787896077.7457917,1787896080.467529,1787896081.9243722,
doc163_q2,True,2.9366352558135986,6.40160870552063,16024,128,36.9411199992954,1787896081.9151723,1787896084.8518076,1787896088.316781,
doc190_q2,True,5.00129771232605,6.48716402053833,16024,128,86.14503154998054,1787896081.9244595,1787896086.9257572,1787896088.4116235,
